D’a,TOTAL UCI,TOTAL NO UCI,TOTAL NIVEL II
11/08/20,55.5555556,27.444795,12.4324324
11/09/20,59.2592593,29.9684543,12.4324324
11/10/20,59.2592593,26.8138801,12.4324324
11/11/20,74.0740741,26.8138801,14.5945946
11/12/20,74.0740741,25.8675079,14.0540541
11/13/20,70.3703704,25.2365931,11.8918919
11/14/20,70.3703704,29.6529968,12.972973
11/15/20,70.3703704,29.6178344,15.6756757
11/16/20,70.3703704,26.433121,17.2972973
11/17/20,70.3703704,22.9299363,17.2972973
11/18/20,70.3703704,24.8407643,17.2972973
11/19/20,74.0740741,24.8407643,18.9189189
11/20/20,74.0740741,25.7961783,16.2162162
11/21/20,74.0740741,24.8407643,16.2162162
11/22/20,70.3703704,30.5732484,16.7567568
11/23/20,74.0740741,27.2151899,16.7567568
11/24/20,74.0740741,26.8987342,15.6756757
11/25/20,77.7777778,25.9493671,15.6756757
11/26/20,66.6666667,25.9493671,15.6756757
11/27/20,74.0740741,28.4810127,14.5945946
11/28/20,77.7777778,28.4810127,14.5945946
11/29/20,81.4814815,29.1139241,14.0540541
11/30/20,66.6666667,26.2658228,15.1351351
12/01/20,62.962963,25,16.7567568
12/02/20,73.9130435,24.6794872,17.2972973
12/03/20,73.9130435,24.6794872,16.7567568
12/04/20,69.5652174,24.3589744,16.7567568
12/05/20,73.9130435,30.7692308,17.8378378
12/06/20,78.2608696,29.8076923,20
12/07/20,78.2608696,26.9230769,17.8378378
12/08/20,65.2173913,25.3205128,17.8378378
12/09/20,73.9130435,27.5641026,17.8378378
12/10/20,69.5652174,24.0384615,20.5405405
12/11/20,69.5652174,25.6410256,20
12/12/20,65.2173913,25.9615385,18.3783784
12/13/20,69.5652174,24.3589744,17.2972973
12/14/20,69.5652174,26.2820513,17.2972973
12/15/20,69.5652174,26.9230769,16.7567568
12/16/20,69.5652174,26.2820513,16.7567568
12/17/20,69.5652174,25.9615385,16.7567568
12/18/20,69.5652174,23.3974359,16.2162162
12/19/20,73.9130435,25.6410256,15.6756757
12/20/20,73.9130435,25.6410256,16.7567568
12/21/20,78.2608696,26.9230769,18.3783784
12/22/20,78.2608696,26.2820513,20
12/23/20,78.2608696,21.474359,16.7567568
12/24/20,78.2608696,21.7948718,17.2972973
12/25/20,78.2608696,20.5128205,17.2972973
12/26/20,73.9130435,21.1538462,17.8378378
12/27/20,78.2608696,21.474359,18.9189189
12/28/20,78.2608696,20.1923077,15.6756757
12/29/20,78.2608696,22.1153846,15.6756757
12/30/20,78.2608696,25.6410256,20
12/31/20,69.5652174,21.474359,15.6756757
01/01/21,73.9130435,21.1538462,15.6756757
01/02/21,73.9130435,21.1538462,17.2972973
01/03/21,73.9130435,20.8333333,16.7567568
01/04/21,78.2608696,24.6794872,16.2162162
01/05/21,78.2608696,26.6025641,16.7567568
01/06/21,78.2608696,34.6153846,16.7567568
01/07/21,78.2608696,33.0128205,19.4594595
01/08/21,85.7142857,36.8589744,17.2972973
01/09/21,72,40.0641026,19.4594595
01/10/21,86.9565217,40.7051282,21.0810811
01/11/21,86.9565217,38.4615385,20
01/12/21,86.9565217,36.5384615,22.1621622
01/13/21,91.3043478,34.9358974,24.3243243
01/14/21,91.3043478,37.1794872,24.3243243
01/15/21,95.6521739,34.9358974,23.2432432
